treatment,senior,building,stories,hasround2
1,0,1,7,1
1,0,1,7,1
1,0,1,7,1
1,0,1,7,1
1,0,1,7,1
1,0,1,7,1
1,0,1,7,1
1,0,1,7,0
1,0,1,7,1
1,0,1,7,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,0
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,0
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,0
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,0
0,0,2,11,1
0,0,2,11,1
0,0,2,11,0
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,0
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,0
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
0,0,2,11,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,0
1,0,3,8,0
1,0,3,8,0
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,1,4,20,1
1,1,4,20,0
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,0
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,0
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,0
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,0
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,0
1,1,4,20,1
1,1,4,20,1
1,1,4,20,0
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,0
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,0
1,1,4,20,1
1,1,4,20,1
1,1,4,20,0
1,1,4,20,0
1,1,4,20,0
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,0
1,1,4,20,1
1,1,4,20,1
1,1,4,20,1
1,1,4,20,0
1,0,3,8,1
1,0,3,8,1
1,0,3,8,1
1,0,7,3,1
1,0,7,3,1
1,0,7,3,0
1,0,7,3,0
1,0,7,3,0
1,0,7,3,1
1,0,7,3,1
1,0,7,3,1
1,0,7,3,1
1,0,7,3,1
1,0,7,3,1
1,0,7,3,1
1,0,7,3,0
1,0,7,3,0
1,0,7,3,1
1,0,7,3,1
1,0,7,3,1
1,0,7,3,1
0,0,5,3,0
0,0,5,3,0
0,0,5,3,1
0,0,5,3,1
1,0,8,3,1
1,0,8,3,1
1,0,8,3,0
1,0,8,3,0
1,0,8,3,1
1,0,8,3,1
1,0,8,3,1
0,0,5,3,1
1,0,8,3,1
1,0,8,3,0
1,0,8,3,1
1,0,8,3,1
0,0,5,3,1
0,0,5,3,1
1,0,8,3,1
1,0,8,3,1
1,0,8,3,1
1,0,8,3,1
1,0,8,3,0
1,0,8,3,1
1,0,9,3,1
1,0,9,3,1
1,0,9,3,1
1,0,9,3,1
1,0,9,3,1
1,0,9,3,1
1,0,9,3,1
1,0,9,3,1
1,0,9,3,1
1,0,9,3,1
1,0,9,3,1
1,0,9,3,1
0,0,6,3,1
0,0,6,3,1
0,0,6,3,0
0,0,6,3,1
0,0,6,3,0
0,0,6,3,1
0,0,6,3,0
0,0,6,3,1
1,0,10,3,1
1,0,10,3,1
1,0,10,3,1
1,0,10,3,0
1,0,10,3,1
1,0,10,3,1
1,0,10,3,1
1,0,10,3,1
1,0,10,3,0
1,0,12,7,1
1,0,12,7,1
1,0,12,7,1
1,0,12,7,1
1,0,12,7,0
1,0,12,7,0
1,0,12,7,1
1,0,12,7,0
1,0,12,7,1
1,0,12,7,1
1,0,12,7,0
1,0,12,7,1
1,0,12,7,1
1,0,12,7,0
1,0,12,7,1
1,0,12,7,1
1,0,12,7,1
1,0,12,7,1
1,0,12,7,1
1,0,12,7,1
1,0,12,7,1
1,0,12,7,1
1,0,12,7,1
1,0,12,7,1
1,0,12,7,0
0,0,11,7,1
0,0,11,7,0
0,0,11,7,1
0,0,11,7,1
0,0,11,7,1
0,0,11,7,0
0,0,11,7,1
0,0,11,7,1
0,0,11,7,1
0,0,11,7,1
0,0,11,7,1
0,0,11,7,0
0,0,11,7,1
0,0,11,7,0
0,0,11,7,1
0,0,11,7,1
0,0,11,7,1
0,0,11,7,1
0,0,11,7,0
0,0,11,7,1
0,0,11,7,1
0,0,11,7,1
0,0,11,7,0
0,0,11,7,1
0,0,11,7,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,0
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,0
0,1,13,6,0
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,0
0,1,13,6,0
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,0
0,1,13,6,1
0,1,13,6,1
0,1,13,6,1
0,1,13,6,0
0,1,13,6,1
