treatment,senior,building,roach1,success2
1,0,11,308,1
1,0,11,331.25,1
1,0,11,1.666666667,0
1,0,11,3,0
1,0,11,2,1
1,0,11,0,1
1,0,11,70,0
1,0,11,64.55555556,1
0,0,12,1,0
0,0,12,14,1
0,0,12,138.25,1
0,0,12,16,0
0,0,12,97,1
0,0,12,98,0
0,0,12,44,0
0,0,12,450,1
0,0,12,36.66666667,1
0,0,12,75,1
0,0,12,2,1
0,0,12,342.5,1
0,0,12,22.5,0
0,0,12,4,1
0,0,12,94,0
0,0,12,132.125,1
0,0,12,80,1
0,0,12,95,0
0,0,12,34.125,0
0,0,12,19,1
0,0,12,25,1
0,0,12,57.5,0
0,0,12,3.111111111,0
0,0,12,10.5,0
0,0,12,47,1
0,0,12,2.625,1
0,0,12,204,1
0,0,12,0,1
0,0,12,0,1
0,0,12,246.25,1
0,0,12,76.22222222,1
0,0,12,15,0
0,0,12,14.875,1
0,0,12,51,1
0,0,12,15,1
0,0,12,52.5,0
0,0,12,13.75,0
0,0,12,1.166666667,1
0,0,12,1,1
0,0,12,2,0
0,0,12,0,1
0,0,12,2,0
0,0,12,2,1
0,0,12,30,1
0,0,12,7,1
0,0,12,18,1
0,0,12,2,1
0,0,12,266,0
1,0,13,174,1
1,0,13,252,1
1,0,13,0.875,1
1,0,13,372.5,1
1,0,13,42,0
1,0,13,19,0
1,0,13,263,1
1,0,13,34,1
1,0,13,1.75,0
1,0,13,213.5,1
1,0,13,13.125,0
1,0,13,154,0
1,0,13,21,1
1,0,13,220,1
1,0,13,38.31896552,0
1,0,13,352.5,1
1,0,13,7,1
1,0,13,4,1
1,0,13,59.5,0
1,0,13,7.5,1
1,0,13,112.875,0
1,0,13,172,1
1,0,13,13,1
1,0,13,18,1
1,0,13,0,0
1,0,13,27,1
1,0,13,148,1
1,0,13,32,0
1,0,13,28,1
1,0,13,0,0
1,0,13,28,0
1,1,10,0,1
1,1,10,14,1
1,1,10,5,1
1,1,10,0,1
1,1,10,104,1
1,1,10,27,0
1,1,10,132,1
1,1,10,258,1
1,1,10,1,0
1,1,10,2,1
1,1,10,6,1
1,1,10,3,0
1,1,10,3,1
1,1,10,0,1
1,1,10,0,1
1,1,10,0,1
1,1,10,1.25,0
1,1,10,0,1
1,1,10,16,1
1,1,10,68,1
1,1,10,1,1
1,1,10,18,0
1,1,10,123.6666667,1
1,1,10,2,1
1,1,10,82.5,1
1,1,10,0,1
1,1,10,1.25,1
1,1,10,171,1
1,1,10,91.875,1
1,1,10,5,1
1,1,10,7,1
1,1,10,0,1
1,1,10,4,1
1,1,10,53.75,1
1,1,10,138.0555556,1
1,1,10,1,1
1,1,10,1.25,1
1,1,10,28,1
1,1,10,15,1
1,1,10,0.875,1
1,1,10,0,1
1,1,10,33,1
1,1,10,136.25,1
1,1,10,127.5,1
1,1,10,2,0
1,1,10,2,1
1,1,10,0,1
1,1,10,3,1
1,1,10,46,1
1,1,10,68,1
1,1,10,0,1
1,1,10,49,1
1,1,10,27.125,1
1,0,13,45.5,1
1,0,13,0,1
1,0,13,4,1
1,0,6,0,1
1,0,6,1,1
1,0,6,0,1
1,0,6,0,1
1,0,6,10.5,1
1,0,6,0,0
1,0,6,3,0
1,0,6,0,1
1,0,6,0,1
1,0,6,0,1
1,0,6,3.75,1
1,0,6,0,1
1,0,6,0,1
0,0,4,0,1
0,0,4,0.875,1
1,0,7,2,1
1,0,7,81,1
1,0,7,31,0
1,0,7,10,0
1,0,7,10.23076923,1
0,0,4,0,0
1,0,7,13,1
1,0,7,1,0
1,0,7,33.25,1
0,0,4,0,1
0,0,4,53,1
1,0,7,5,1
1,0,7,157,1
1,0,7,23.33333333,0
1,0,7,6,1
1,0,7,10,1
1,0,8,100,1
1,0,8,55,1
1,0,8,0,0
1,0,8,16.25,0
1,0,8,7.777777778,1
1,0,8,53,1
1,0,8,2,1
1,0,8,73,0
1,0,8,0,1
1,0,8,0,0
1,0,8,0,1
1,0,8,3.181818182,1
0,0,5,5,1
0,0,5,3,0
0,0,5,0,0
0,0,5,10,0
0,0,5,1,0
1,0,9,0,1
1,0,9,1,1
1,0,9,12,1
1,0,9,17,1
1,0,9,16,1
1,0,9,2.5,0
1,0,9,0,1
1,0,2,21.875,1
1,0,2,173,1
1,0,2,111,1
1,0,2,35,1
1,0,2,0,1
1,0,2,3,0
1,0,2,2.1,0
1,0,2,0,0
1,0,2,49,0
1,0,2,1.25,0
1,0,2,1,1
1,0,2,1,1
1,0,2,0,1
1,0,2,0,1
1,0,2,54,1
1,0,2,4.2,1
1,0,2,51.25,1
1,0,2,30,1
0,0,3,196,1
0,0,3,0,1
0,0,3,2,0
0,0,3,1.5,1
0,0,3,96.25,1
0,0,3,241.5,0
0,0,3,140,1
0,0,3,18,0
0,0,3,3,0
0,0,3,0.538461539,0
0,0,3,82,0
0,0,3,19,0
0,0,3,18.75,0
0,0,3,51,0
0,0,3,0,0
0,0,3,1,0
0,0,3,0,0
0,0,3,5.444444444,0
0,0,3,0,0
0,1,1,3,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,28.75,0
0,1,1,0,0
0,1,1,3,0
0,1,1,2,0
0,1,1,135,1
0,1,1,0,1
0,1,1,68.25,1
0,1,1,1,1
0,1,1,0,0
0,1,1,0,1
0,1,1,0,0
0,1,1,1,1
0,1,1,1,0
0,1,1,2.5,0
0,1,1,51.25,1
0,1,1,13.125,0
0,1,1,0,0
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,0
0,1,1,0,0
